epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
26,2020-06-21,9,BA,Andorinha,2901353,city,3,20.55498,0,0,0,0.0,14595,True,False
26,2020-06-21,13,BA,Angical,2901403,city,1,7.15461,0,0,0,0.0,13977,True,False
26,2020-06-21,43,BA,Anguera,2901502,city,23,204.97282,0,0,0,0.0,11221,True,False
26,2020-06-21,22,BA,Antas,2901601,city,2,10.36753,0,0,0,0.0,19291,True,False
26,2020-06-21,28,BA,Antônio Cardoso,2901700,city,6,51.35667,0,0,0,0.0,11683,True,False
26,2020-06-21,9,BA,Antônio Gonçalves,2901809,city,4,33.90405,0,0,0,0.0,11798,True,False
26,2020-06-21,32,BA,Aporá,2901908,city,34,191.75455,0,1,0,0.0294,17731,True,False
26,2020-06-21,32,BA,Apuarema,2901957,city,7,95.49795,6,0,0,0.0,7330,True,False
26,2020-06-21,39,BA,Araças,2902054,city,2,16.42441,0,0,0,0.0,12177,True,False
26,2020-06-21,55,BA,Aracatu,2902005,city,12,91.35896,0,0,0,0.0,13135,True,False
26,2020-06-21,75,BA,Araci,2902104,city,115,211.4787,12,1,0,0.0087,54379,True,False
26,2020-06-21,20,BA,Aramari,2902203,city,4,35.09696,0,0,0,0.0,11397,True,False
26,2020-06-21,54,BA,Arataca,2902252,city,2,18.15047,0,0,0,0.0,11019,True,False
26,2020-06-21,25,BA,Aratuípe,2902302,city,1,11.33144,0,1,0,1.0,8825,True,False
26,2020-06-21,75,BA,Aurelino Leal,2902401,city,51,442.28601,2,0,0,0.0,11531,True,False
26,2020-06-21,27,BA,Baianópolis,2902500,city,2,14.41234,0,0,0,0.0,13877,True,False
26,2020-06-21,3,BA,Baixa Grande,2902609,city,1,4.88568,0,0,0,0.0,20468,True,False
26,2020-06-21,38,BA,Banzaê,2902658,city,14,105.8281,0,0,0,0.0,13229,True,False
26,2020-06-21,83,BA,Barra,2902708,city,21,39.19519,0,0,0,0.0,53578,True,False
26,2020-06-21,15,BA,Barra da Estiva,2902807,city,1,4.85484,0,0,0,0.0,20598,True,False
26,2020-06-21,77,BA,Barra do Choça,2902906,city,18,56.95662,0,0,0,0.0,31603,True,False
26,2020-06-21,31,BA,Barra do Mendes,2903003,city,2,14.42481,0,0,0,0.0,13865,True,False
26,2020-06-21,82,BA,Barra do Rocha,2903102,city,5,87.50438,0,0,0,0.0,5714,True,False
26,2020-06-21,92,BA,Barreiras,2903201,city,209,134.45789,17,2,0,0.0096,155439,True,False
26,2020-06-21,43,BA,Barrocas,2903276,city,33,206.53398,0,0,0,0.0,15978,True,False
26,2020-06-21,64,BA,Barro Preto,2903300,city,12,214.63066,0,0,0,0.0,5591,True,False
26,2020-06-21,81,BA,Belmonte,2903409,city,52,222.90809,0,1,0,0.0192,23328,True,False
26,2020-06-21,8,BA,Belo Campo,2903508,city,0,,0,0,0,0.0,17211,True,False
26,2020-06-21,29,BA,Biritinga,2903607,city,1,6.25821,0,0,0,0.0,15979,True,False
26,2020-06-21,17,BA,Boa Nova,2903706,city,1,7.91578,0,0,0,0.0,12633,True,False
26,2020-06-21,46,BA,Boa Vista do Tupim,2903805,city,4,21.53316,0,0,0,0.0,18576,True,False
26,2020-06-21,69,BA,Bom Jesus da Lapa,2903904,city,40,57.84694,0,0,0,0.0,69148,True,False
26,2020-06-21,28,BA,Bom Jesus da Serra,2903953,city,1,10.12146,0,0,0,0.0,9880,True,False
26,2020-06-21,17,BA,Boninal,2904001,city,3,20.87973,0,0,0,0.0,14368,True,False
26,2020-06-21,18,BA,Bonito,2904050,city,0,,0,0,0,0.0,16764,True,False
26,2020-06-21,40,BA,Boquira,2904100,city,10,46.49433,0,0,0,0.0,21508,True,False
26,2020-06-21,13,BA,Botuporã,2904209,city,0,,0,0,0,0.0,10211,True,False
26,2020-06-21,12,BA,Brejões,2904308,city,10,69.95453,1,0,0,0.0,14295,True,False
26,2020-06-21,17,BA,Brotas de Macaúbas,2904506,city,0,,0,0,0,0.0,10231,True,False
26,2020-06-21,91,BA,Brumado,2904605,city,119,177.09651,2,2,0,0.0168,67195,True,False
26,2020-06-21,67,BA,Buerarema,2904704,city,53,288.84408,0,5,0,0.0943,18349,True,False
26,2020-06-21,24,BA,Buritirama,2904753,city,15,70.8416,0,0,0,0.0,21174,True,False
26,2020-06-21,10,BA,Caatiba,2904803,city,29,429.12104,4,0,0,0.0,6758,True,False
26,2020-06-21,38,BA,Cabaceiras do Paraguaçu,2904852,city,6,31.90301,0,0,0,0.0,18807,True,False
26,2020-06-21,79,BA,Cachoeira,2904902,city,27,80.66926,0,0,0,0.0,33470,True,False
26,2020-06-21,24,BA,Caculé,2905008,city,1,4.31593,0,1,0,1.0,23170,True,False
26,2020-06-21,35,BA,Caém,2905107,city,6,65.12537,0,0,0,0.0,9213,True,False
26,2020-06-21,57,BA,Caetanos,2905156,city,2,13.75327,0,0,0,0.0,14542,True,False
26,2020-06-21,34,BA,Caetité,2905206,city,17,33.34968,0,0,0,0.0,50975,True,False
26,2020-06-21,41,BA,Cairu,2905404,city,30,165.05282,0,1,0,0.0333,18176,True,False
26,2020-06-21,58,BA,Caldeirão Grande,2905503,city,22,165.07841,4,0,0,0.0,13327,True,False
26,2020-06-21,73,BA,Camacan,2905602,city,216,675.25322,1,4,2,0.0185,31988,True,False
26,2020-06-21,94,BA,Camaçari,2905701,city,712,238.02201,28,14,0,0.0197,299132,True,False
26,2020-06-21,57,BA,Camamu,2905800,city,18,50.9684,0,1,0,0.0556,35316,True,False
26,2020-06-21,60,BA,Campo Alegre de Lourdes,2905909,city,29,100.70144,0,1,0,0.0345,28798,True,False
26,2020-06-21,77,BA,Campo Formoso,2906006,city,45,63.19692,7,0,0,0.0,71206,True,False
26,2020-06-21,89,BA,Canarana,2906204,city,20,76.40587,0,0,0,0.0,26176,True,False
26,2020-06-21,70,BA,Canavieiras,2906303,city,30,96.46612,1,1,0,0.0333,31099,True,False
26,2020-06-21,20,BA,Candeal,2906402,city,11,133.20417,0,0,0,0.0,8258,True,False
26,2020-06-21,83,BA,Candeias,2906501,city,496,569.61735,7,14,0,0.0282,87076,True,False
26,2020-06-21,23,BA,Candiba,2906600,city,9,62.85355,0,0,0,0.0,14319,True,False
26,2020-06-21,30,BA,Cândido Sales,2906709,city,66,262.01914,4,1,0,0.0152,25189,True,False
26,2020-06-21,73,BA,Cansanção,2906808,city,28,80.38124,1,2,0,0.0714,34834,True,False
26,2020-06-21,24,BA,Canudos,2906824,city,12,71.99424,0,0,0,0.0,16668,True,False
26,2020-06-21,43,BA,Capela do Alto Alegre,2906857,city,3,25.77984,0,0,0,0.0,11637,True,False
26,2020-06-21,72,BA,Capim Grosso,2906873,city,47,153.2842,13,3,0,0.0638,30662,True,False
26,2020-06-21,27,BA,Caraíbas,2906899,city,3,33.51581,0,0,0,0.0,8951,True,False
26,2020-06-21,19,BA,Caravelas,2906907,city,15,68.13227,1,0,0,0.0,22016,True,False
26,2020-06-21,35,BA,Cardeal da Silva,2907004,city,7,75.30931,0,0,0,0.0,9295,True,False
26,2020-06-21,17,BA,Carinhanha,2907103,city,1,3.44614,0,0,0,0.0,29018,True,False
26,2020-06-21,24,BA,Casa Nova,2907202,city,57,79.20077,1,3,1,0.0526,71969,True,False
26,2020-06-21,65,BA,Castro Alves,2907301,city,46,175.14468,2,1,0,0.0217,26264,True,False
26,2020-06-21,9,BA,Catolândia,2907400,city,1,27.95639,0,0,0,0.0,3577,True,False
26,2020-06-21,83,BA,Catu,2907509,city,157,286.99912,9,1,0,0.0064,54704,True,False
26,2020-06-21,23,BA,Central,2907608,city,0,,0,0,0,0.0,17266,True,False
26,2020-06-21,17,BA,Chorrochó,2907707,city,2,17.89389,0,0,0,0.0,11177,True,False
26,2020-06-21,25,BA,Cícero Dantas,2907806,city,4,12.30201,0,1,0,0.25,32515,True,False
26,2020-06-21,29,BA,Cipó,2907905,city,3,17.34104,0,0,0,0.0,17300,True,False
26,2020-06-21,83,BA,Coaraci,2908002,city,45,264.81492,0,3,1,0.0667,16993,True,False
26,2020-06-21,34,BA,Cocos,2908101,city,7,37.27965,0,0,0,0.0,18777,True,False
26,2020-06-21,39,BA,Conceição da Feira,2908200,city,54,239.1391,9,1,0,0.0185,22581,True,False
26,2020-06-21,38,BA,Conceição do Almeida,2908309,city,15,86.97165,2,0,0,0.0,17247,True,False
26,2020-06-21,75,BA,Conceição do Coité,2908408,city,79,118.59725,3,0,0,0.0,66612,True,False
26,2020-06-21,92,BA,Conceição do Jacuípe,2908507,city,121,364.97451,12,0,0,0.0,33153,True,False
26,2020-06-21,90,BA,Conde,2908606,city,29,112.24213,0,2,0,0.069,25837,True,False
26,2020-06-21,34,BA,Condeúba,2908705,city,17,98.56787,0,0,0,0.0,17247,True,False
26,2020-06-21,65,BA,Coração de Maria,2908903,city,23,101.7474,2,0,0,0.0,22605,True,False
26,2020-06-21,12,BA,Cordeiros,2909000,city,1,11.60901,0,0,0,0.0,8614,True,False
26,2020-06-21,26,BA,Coronel João Sá,2909208,city,10,62.91287,0,0,0,0.0,15895,True,False
26,2020-06-21,20,BA,Correntina,2909307,city,4,12.44671,0,0,0,0.0,32137,True,False
26,2020-06-21,62,BA,Cravolândia,2909505,city,4,74.78033,0,0,0,0.0,5349,True,False
26,2020-06-21,27,BA,Crisópolis,2909604,city,7,33.17064,0,0,0,0.0,21103,True,False
26,2020-06-21,38,BA,Cristópolis,2909703,city,7,50.32351,0,0,0,0.0,13910,True,False
26,2020-06-21,59,BA,Cruz das Almas,2909802,city,73,115.4351,8,1,0,0.0137,63239,True,False
26,2020-06-21,67,BA,Curaçá,2909901,city,61,175.79251,2,0,0,0.0,34700,True,False
26,2020-06-21,55,BA,Dário Meira,2910008,city,16,149.39309,0,1,0,0.0625,10710,True,False
26,2020-06-21,84,BA,Dias d'Ávila,2910057,city,174,214.57904,2,7,1,0.0402,81089,True,False
26,2020-06-21,43,BA,Dom Basílio,2910107,city,4,32.78957,1,0,0,0.0,12199,True,False
26,2020-06-21,13,BA,Dom Macedo Costa,2910206,city,3,73.92804,0,0,0,0.0,4058,True,False
26,2020-06-21,41,BA,Encruzilhada,2910404,city,53,311.65471,4,0,0,0.0,17006,True,False
26,2020-06-21,41,BA,Entre Rios,2910503,city,56,134.03542,1,0,0,0.0,41780,True,False
26,2020-06-21,12,BA,Érico Cardoso,2900504,city,0,,0,0,0,0.0,10610,True,False
26,2020-06-21,30,BA,Esplanada,2910602,city,7,18.79851,0,0,0,0.0,37237,True,False
26,2020-06-21,75,BA,Euclides da Cunha,2910701,city,15,24.7586,1,1,0,0.0667,60585,True,False
26,2020-06-21,68,BA,Eunápolis,2910727,city,470,414.53519,22,5,0,0.0106,113380,True,False
26,2020-06-21,26,BA,Fátima,2910750,city,2,11.17943,0,0,0,0.0,17890,True,False
26,2020-06-21,108,BA,Feira de Santana,2910800,city,1357,220.69634,65,31,0,0.0228,614872,True,False
26,2020-06-21,22,BA,Filadélfia,2910859,city,14,85.48574,1,1,0,0.0714,16377,True,False
